name,deltaG,SMILES
pubchem_2052,-10.4,COc1ccccc1-n1ccn2c(SCc3ccccc3C)nnc2c1=O
pubchem_42,-10.39,Cc1ccc(C)c(-n2c(C)nnc2SCC(=O)NCCOc2ccccc2)c1
pubchem_599,-10.39,O=C1COc2ccccc2N1CCc1n[nH]c(CCc2ccccc2)n1
pubchem_657,-10.39,CCc1ccc(OCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)cc1
pubchem_877,-10.39,CCOc1ccccc1NC(=O)NCc1nnnn1-c1ccc(C)cc1
pubchem_997,-10.39,CCOc1ccc(-n2nc(C(=O)NC3CCCCC3)nc2-c2ccccc2)cc1
pubchem_1907,-10.39,C=CCn1c(SCC(=O)Nc2ccccc2OC)nnc1C1CCCCC1
pubchem_74,-10.38,CCOc1ccc(-n2nnnc2CNC(=O)COc2ccc(C)cc2)cc1
pubchem_112,-10.38,Cc1cccc(OCCN(C)C(=O)c2nc(C)n(-c3ccccc3Cl)n2)c1
pubchem_371,-10.38,O=C(NCCOc1ccccc1)c1nc(Cc2ccccc2)n(-c2ccccc2)n1
pubchem_1034,-10.38,CCc1ccc(NC(=O)COc2ccc(-c3nnc4n3CCCC4)cc2)cc1
pubchem_1205,-10.38,CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1cccc(C)c1
pubchem_1710,-10.38,CCN(CC)CCOc1ccccc1NC(=O)Cn1nnc(-c2ccccc2)n1
pubchem_1739,-10.38,Cc1cccc(OCCC(=O)Nc2ccc(-c3n[nH]c(CN)n3)cc2)c1C
pubchem_2060,-10.38,Cc1ccc(OCCC(=O)Nc2ccccc2-c2n[nH]c(C(C)C)n2)c(C)c1
pubchem_742,-10.37,CCOc1ccccc1NC(=O)CSc1nnc(C)n1Cc1ccccc1
pubchem_1507,-10.37,CN(CCOc1ccccc1)C(=O)c1nc(-c2ccccc2)n(-c2ccccc2)n1
pubchem_398,-10.36,CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1ccc(C)cc1
pubchem_488,-10.36,Cc1ccccc1-n1c(C)nnc1SCC(=O)NCCOc1ccccc1
pubchem_746,-10.36,CCOc1ccccc1NC(=O)Cn1nnc(-c2ccccc2C)n1
pubchem_846,-10.36,COc1ccccc1-c1nc(NC(=O)CN2C(=O)COc3ccccc32)n[nH]1
pubchem_850,-10.36,CC(C)Oc1ccc(CNC(=O)Nc2ccc(-c3n[nH]c(C4CC4)n3)cc2)cc1
pubchem_927,-10.36,Cc1ccc(-n2nnnc2CNC(=O)COc2ccccc2C)cc1
pubchem_2063,-10.36,CC(C)c1ccc(OCC(=O)Nc2cccc(-c3n[nH]c(C4CC4)n3)c2)cc1
pubchem_54,-10.35,COc1ccc(NC(=O)Cn2nc(-c3ccccc3)nc2-c2ccccc2)cc1
pubchem_264,-10.35,CCOc1ccccc1NC(=O)CSc1nnc(CCc2ccccc2)n1C
pubchem_465,-10.35,Cc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c1C
pubchem_159,-10.34,Cc1ccc(OCC(=O)NCc2nncn2-c2ccccc2)cc1C
pubchem_1133,-10.34,CCc1nc(C2CCN(C(=O)CN3CCOc4ccc(Cl)cc43)CC2)n[nH]1
pubchem_160,-10.33,CC(=O)Nc1cccc(OCc2noc(C(=O)NCc3ccccc3)n2)c1
pubchem_408,-10.33,CCOc1ccccc1NC(=O)CSc1nnc(C2CCCCC2)n1CC
pubchem_1351,-10.33,CNC(=O)COc1cccc(CC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)c1
pubchem_147,-10.32,COc1ccccc1NC(=O)Cc1noc(CNc2ccc(F)cc2C)n1
pubchem_1227,-10.32,CCc1ccc(OCc2nc(SCC(=O)Nc3ccc(C)c(C)c3)n[nH]2)cc1
pubchem_24,-10.31,CCc1ccc(OCC(=O)Nc2cccc(-c3nncn3CC)c2)cc1
pubchem_298,-10.31,Cc1ccc2oc(=O)n(Cc3nc(CCc4ccccc4)n[nH]3)c2c1
pubchem_486,-10.31,COc1ccccc1CNC(=O)c1nc(CC(=O)Nc2ccccc2)no1
pubchem_638,-10.31,CC(=O)Nc1ccc(OCc2noc(C(=O)NCc3ccccc3)n2)cc1
pubchem_1882,-10.31,COc1ccccc1Cc1nc(-c2ccc(N3CCCC3=O)cc2)n[nH]1
pubchem_1963,-10.31,Cc1nc(-c2ccc(NC(=O)COc3ccccc3Cc3ccccc3)cc2)n[nH]1
pubchem_2079,-10.31,Cn1nc(COc2cccc(F)c2)nc1-c1cccc(N2CCNC2=O)c1
pubchem_917,-10.3,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccccc3)n2CC)cc1
pubchem_63,-10.29,COc1cccc(NC(=O)CSc2n[nH]c(COc3ccccc3C)n2)c1
pubchem_130,-10.29,Cc1ccccc1NC(=O)CSc1n[nH]c(COc2ccccc2C)n1
pubchem_284,-10.29,CC(=O)Nc1ccccc1OCc1noc(C(=O)NCCc2ccc(O)cc2)n1
pubchem_671,-10.29,CCc1ccc(OCc2nnc(SCC(=O)Nc3cccc(C)c3)n2C)cc1
pubchem_985,-10.29,C/N=C(/NCCCN1C(=O)COc2ccccc21)N1CCC(c2ncn[nH]2)CC1
pubchem_1149,-10.29,COc1ccccc1-n1nc(CCc2ccccc2)nc1CNC(C)=O
pubchem_1224,-10.29,COc1ccccc1NC(=O)CSc1nnc(CC2CCCCC2)n1C
pubchem_489,-10.28,Cc1ccc(-n2nnnc2CNC(=O)COc2cccc(C)c2)cc1
pubchem_1010,-10.28,COc1ccccc1CNC(=O)CCCCc1nncn1-c1ccccc1
pubchem_1049,-10.28,Cc1cccc(OCCNC(=O)CNc2ccc(-c3nnnn3C3CC3)cc2)c1
pubchem_1230,-10.28,CC(=O)Nc1ccc(OCc2noc(C(=O)NCCc3ccccc3)n2)cc1
pubchem_1262,-10.28,O=C(COc1ccccc1F)Nc1cccc(-c2n[nH]c(C3CC3)n2)c1
pubchem_1273,-10.28,COc1ccc(C)cc1NC(=O)NCc1nncn1C1CCCCC1
pubchem_2056,-10.28,Cc1ccccc1OCC(=O)Nc1ccc(-c2n[nH]c(C3CC3)n2)cc1
pubchem_286,-10.27,Cc1cccc(OCC(=O)NCc2nncn2-c2ccccc2)c1C
pubchem_430,-10.27,COc1ccccc1-n1ccn2c(SCc3ccccc3)nnc2c1=O
pubchem_582,-10.27,Cc1cc(C)cc(NC(=O)CSc2n[nH]c(COc3ccccc3)n2)c1
pubchem_2078,-10.27,C#CCOc1ccccc1CN(C)C(=O)NCc1nncn1-c1ccccc1
pubchem_4,-10.26,CCc1ccc(OCc2nnc(SCC(=O)Nc3ccc(C)cc3)n2C)cc1
pubchem_9,-10.26,CCn1c(COc2ccc(C)cc2)nnc1SCC(=O)Nc1cccc(C)c1
